Year,State-code,State,Constituency-code,Constituency,Name,Party,Rank
2019,S12,Madhya Pradesh,28,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),BJP,1
2019,S13,Maharashtra,12,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,BJP,1
2019,S13,Maharashtra,14,Yavatmal-Washim,GAWALI BHAVANA PUNDLIKRAO,SHS,1
2019,S13,Maharashtra,31,Mumbai   South,ARVIND SAWANT,SHS,1
2019,S19,Punjab,1,Gurdaspur,VINOD KHANNA,BJP,1
2019,S19,Punjab,2,Amritsar,CAPTAIN AMARINDER SINGH,INC,1
2019,S19,Punjab,3,Khadoor Sahib,RANJIT SINGH BRAHMPURA,SAD,1
2019,S19,Punjab,4,Jalandhar,SANTOKH SINGH CHAUDHARY,INC,1
2019,S19,Punjab,5,Hoshiarpur,VIJAY SAMPLA,BJP,1
2019,S19,Punjab,6,Anandpur Sahib,PREM SINGH CHANDUMAJRA,SAD,1
2019,S19,Punjab,7,Ludhiana,RAVNEET SINGH BITTU,INC,1
2019,S19,Punjab,8,Fatehgarh Sahib,HARINDER SINGH KHALSA,AAAP,1
2019,S19,Punjab,9,Faridkot,PROF. SADHU SINGH,AAAP,1
2019,S19,Punjab,10,Firozpur,SHER SINGH GHUBAYA,SAD,1
2019,S19,Punjab,11,Bathinda,HARSIMRAT KAUR BADAL,SAD,1
2019,S19,Punjab,12,Sangrur,BHAGWANT MANN,AAAP,1
2019,S19,Punjab,13,Patiala,DR. DHARAM VIRA GANDHI,AAAP,1
2019,S20,Rajasthan,25,JHALAWAR-BARAN,DUSHYANT SINGH,BJP,1
2019,S22,Tamil Nadu,8,Vellore,"SENGUTTUVAN, B.",ADMK,1
2019,S24,Uttar Pradesh,38,Sultanpur,FEROZE VARUN GANDHI,BJP,1
2019,S24,Uttar Pradesh,39,Pratapgarh,KUWAR HARIVANSH SINGH,AD,1
2019,S24,Uttar Pradesh,51,Phulpur,KESHAV PRASAD MAURYA,BJP,1
2019,S24,Uttar Pradesh,52,Allahabad,SHYAMA CHARAN GUPTA,BJP,1
2019,S24,Uttar Pradesh,55,Ambedkar Nagar,HARI OM PANDEY,BJP,1
2019,S24,Uttar Pradesh,58,Shrawasti,DADDAN MISHRA,BJP,1
2019,S24,Uttar Pradesh,60,Domariyaganj,JAGDAMBIKA PAL,BJP,1
2019,S24,Uttar Pradesh,61,Basti,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,BJP,1
2019,S24,Uttar Pradesh,62,Sant Kabir Nagar,SHARAD TRIPATHI,BJP,1
2019,S24,Uttar Pradesh,63,Maharajganj,PANKAJ,BJP,1
2019,S24,Uttar Pradesh,64,Gorakhpur,ADITYANATH,BJP,1
2019,S24,Uttar Pradesh,65,Kushi Nagar,RAJESH PANDEY URF GUDDU,BJP,1
2019,S24,Uttar Pradesh,66,Deoria,KALRAJ MISHRA,BJP,1
2019,S24,Uttar Pradesh,67,Bansgaon,KAMLESH PASWAN,BJP,1
2019,S24,Uttar Pradesh,68,Lalganj,NEELAM SONKAR,BJP,1
2019,S24,Uttar Pradesh,69,Azamgarh,MULAYAM SINGH YADAV,SP,1
2019,S24,Uttar Pradesh,70,Ghosi,HARINARAYAN RAJBHAR,BJP,1
2019,S24,Uttar Pradesh,71,Salempur,RAVINDRA KUSHAWAHA,BJP,1
2019,S24,Uttar Pradesh,72,Ballia,BHARAT SINGH,BJP,1
2019,S24,Uttar Pradesh,73,Jaunpur,KRISHNA PRATAP ''''''''K.P.'''''''',BJP,1
2019,S24,Uttar Pradesh,74,Machhlishahr,RAM CHARITRA NISHAD,BJP,1
2019,S24,Uttar Pradesh,75,Ghazipur,MANOJ SINHA,BJP,1
2019,S24,Uttar Pradesh,76,Chandauli,DR MAHENDRA NATH PANDEY,BJP,1
2019,S24,Uttar Pradesh,77,Varanasi,NARENDRA MODI,BJP,1
2019,S24,Uttar Pradesh,78,Bhadohi,VIRENDRA SINGH,BJP,1
2019,S24,Uttar Pradesh,79,Mirzapur,ANUPRIYA SINGH PATEL,AD,1
2019,S24,Uttar Pradesh,80,Robertsganj,CHHOTELAL,BJP,1
2019,S25,West Bengal,16,Dum dum,SAUGATA ROY,AITC,1
2019,S25,West Bengal,17,Barasat,DR. KAKALI GHOSHDOSTIDAR,AITC,1
2019,S25,West Bengal,18,Basirhat,IDRIS ALI,AITC,1
2019,S25,West Bengal,19,Joynagar,PRATIMA MONDAL,AITC,1
2019,S25,West Bengal,20,Mathurapur,CHOUDHURY MOHAN JATUA,AITC,1
2019,S25,West Bengal,21,Diamond harbour,ABHISHEK BANERJEE,AITC,1
2019,S25,West Bengal,22,Jadavpur,SUGATA BOSE,AITC,1
2019,S25,West Bengal,23,Kolkata Dakshin,SUBRATA BAKSHI,AITC,1
2019,S25,West Bengal,24,Kolkata Uttar,SUDIP BANDYOPADHYAY,AITC,1
2019,S25,West Bengal,30,Tamluk,ADHIKARI SUVENDU,AITC,1
2019,S25,West Bengal,31,Kanthi,ADHIKARI SISIR KUMAR,AITC,1
2019,S25,West Bengal,32,Ghatal,ADHIKARI DEEPAK (DEV),AITC,1
2019,S25,West Bengal,33,Jhargram,UMA SAREN,AITC,1
2019,S25,West Bengal,34,Medinipur,SANDHYA ROY,AITC,1
2019,S25,West Bengal,35,Purulia,DR. MRIGANKA MAHATO,AITC,1
2019,S25,West Bengal,36,Bankura,SREEMATI  DEV VARMA (MOON MOON SEN),AITC,1
2019,S25,West Bengal,37,Bishnupur,KHAN SAUMITRA,AITC,1
2019,S26,Chhattisgarh,3,JANJGIR-CHAMPA,KAMLA PATLE,BJP,1
2019,S27,Jharkhand,1,Rajmahal,VIJAY KUMAR HANSDAK,JMM,1
2019,S27,Jharkhand,2,Dumka,SHIBU SOREN,JMM,1
2019,S27,Jharkhand,3,Godda,NISHIKANT DUBEY,BJP,1
2019,S27,Jharkhand,6,Giridih,RAVINDRA KUMAR PANDEY,BJP,1
2019,S27,Jharkhand,7,Dhanbad,PASHUPATI NATH SINGH,BJP,1
2019,S27,Jharkhand,9,Jamshedpur,BIDYUT BARAN MAHATO,BJP,1
2019,S27,Jharkhand,10,Singhbhum,LAXMAN GILUWA,BJP,1
2019,U02,Chandigarh,1,CHANDIGARH,KIRRON KHER,BJP,1
2019,U05,Delhi,1,CHANDNI CHOWK,DR. HARSH VARDHAN,BJP,1
2019,U05,Delhi,2,NORTH EAST DELHI,MANOJ TIWARI,BJP,1
2019,U05,Delhi,3,EAST DELHI,MAHEISH GIRRI,BJP,1
2019,U05,Delhi,4,NEW DELHI,MEENAKASHI LEKHI,BJP,1
2019,U05,Delhi,5,NORTH WEST DELHI,UDIT RAJ,BJP,1
2019,U05,Delhi,6,WEST DELHI,PARVESH SAHIB SINGH VERMA,BJP,1
2019,U05,Delhi,7,SOUTH DELHI,RAMESH BIDHURI,BJP,1
