Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2019,ANDHRA PRADESH,VISAKHAPATNAM,GANNU MALLAYYA,IND,1313,S01,4,12
2019,ANDHRA PRADESH,VISAKHAPATNAM,KOTHAPALLI GEETHA,IND,1158,S01,4,13
2019,ANDHRA PRADESH,VISAKHAPATNAM,GAMPALA SOMASUNDARAM,IND,1128,S01,4,14
2019,ANDHRA PRADESH,VISAKHAPATNAM,NOTA,NOTA,16646,S01,4,-1
2019,ANDHRA PRADESH,ANAKAPALLI,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,586226,S01,5,1
2019,ANDHRA PRADESH,ANAKAPALLI,ADARI ANAND KUMAR,TDP,497034,S01,5,2
2019,ANDHRA PRADESH,ANAKAPALLI,CHINTALA PARTHA SARATHI,JANASENA PARTY,82588,S01,5,3
2019,ANDHRA PRADESH,ANAKAPALLI,DR. GANDI VENKATA SATYANARAYANA RAO (DR VIKRAM),BJP,13276,S01,5,4
2019,ANDHRA PRADESH,ANAKAPALLI,RUTHALA SRIRAMA MURTHY,INC,10121,S01,5,5
2019,ANDHRA PRADESH,ANAKAPALLI,VADLAMURI KRISHNA SWAROOP,DALITA BAHUJANA PARTY,4444,S01,5,6
2019,ANDHRA PRADESH,ANAKAPALLI,APPALA NAIDU TUMMAGUNTA,IND,3765,S01,5,7
2019,ANDHRA PRADESH,ANAKAPALLI,P.S.AJAY KUMAR,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)  (LIBERATION),2716,S01,5,8
2019,ANDHRA PRADESH,ANAKAPALLI,TAADI VEERA JAGADEESHWARI,PPOI,1803,S01,5,9
2019,ANDHRA PRADESH,ANAKAPALLI,K B SWAROOP,JANA JAGRUTI PARTY,1621,S01,5,10
2019,ANDHRA PRADESH,ANAKAPALLI,NOTA,NOTA,34897,S01,5,-1
2019,ANDHRA PRADESH,KAKINADA,VANGA GEETHAVISWANATH,YSRCP,537630,S01,6,1
2019,ANDHRA PRADESH,KAKINADA,CHALAMALASETTY SUNIL,TDP,511892,S01,6,2
2019,ANDHRA PRADESH,KAKINADA,JYOTHULA VENKATESWARA RAO,JANASENA PARTY,132648,S01,6,3
2019,ANDHRA PRADESH,KAKINADA,YALLA VENKATA RAMA MOHAN RAO (DORABABU),BJP,9596,S01,6,4
2019,ANDHRA PRADESH,KAKINADA,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),INC,8640,S01,6,5
2019,ANDHRA PRADESH,KAKINADA,KAKILETI RAVINDRA,IND,3327,S01,6,6
2019,ANDHRA PRADESH,KAKINADA,APPALAKONDA VANGALAPUDI,MUNDADUGU PRAJA PARTY,2997,S01,6,7
2019,ANDHRA PRADESH,KAKINADA,MEDISETTI VIJAYA KUMAR,IND,2051,S01,6,8
2019,ANDHRA PRADESH,KAKINADA,GODUGU SATYANARAYANA,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)  (LIBERATION),1724,S01,6,9
2019,ANDHRA PRADESH,KAKINADA,B. GEETHA,PRAJA SHANTHI PARTY,1688,S01,6,10
2019,ANDHRA PRADESH,KAKINADA,ANKADI SATHIBABU,IND,1381,S01,6,11
2019,ANDHRA PRADESH,KAKINADA,SATHI VEERALAKSHMI,PPOI,1119,S01,6,12
2019,ANDHRA PRADESH,KAKINADA,VASAMSETTY VENKATARAMANA,AIFB,1014,S01,6,13
2019,ANDHRA PRADESH,KAKINADA,DONAM NEELAKANTAM,ALL INDIA PRAJA PARTY,980,S01,6,14
2019,ANDHRA PRADESH,KAKINADA,PEDDIMSETTI. VENKATESWARARAO,JANA JAGRUTI PARTY,815,S01,6,15
2019,ANDHRA PRADESH,KAKINADA,NOTA,NOTA,17153,S01,6,-1
2019,ANDHRA PRADESH,AMALAPURAM,CHINTA ANURADHA,YSRCP,485313,S01,7,1
2019,ANDHRA PRADESH,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),TDP,445347,S01,7,2
2019,ANDHRA PRADESH,AMALAPURAM,D M R SEKHAR,JANASENA PARTY,254848,S01,7,3
2019,ANDHRA PRADESH,AMALAPURAM,AYYAJI VEMA MANEPALLI,BJP,11516,S01,7,4
2019,ANDHRA PRADESH,AMALAPURAM,JANGA GOUTHAM,INC,7878,S01,7,5
2019,ANDHRA PRADESH,AMALAPURAM,REVU SUDHAKAR,IND,2771,S01,7,6
2019,ANDHRA PRADESH,AMALAPURAM,MORTHA SIVA RAMA KRISHNA,PPOI,1950,S01,7,7
2019,ANDHRA PRADESH,AMALAPURAM,MURALIKRISHNA KANDERI,INDIA PRAJA BANDHU PARTY,1802,S01,7,8
2019,ANDHRA PRADESH,AMALAPURAM,PANTHAGADA VIJAYA CHAKRAVARTHY,RPI(KH),1801,S01,7,9
2019,ANDHRA PRADESH,AMALAPURAM,CHELLE RAJANI,JANA JAGRUTI PARTY,1228,S01,7,10
2019,ANDHRA PRADESH,AMALAPURAM,NOTA,NOTA,16449,S01,7,-1
2019,ANDHRA PRADESH,RAJAHMUNDRY,MARGANI BHARAT,YSRCP,582024,S01,8,1
2019,ANDHRA PRADESH,RAJAHMUNDRY,MAGANTI ROOPA,TDP,460390,S01,8,2
2019,ANDHRA PRADESH,RAJAHMUNDRY,AKULA SATYANARAYANA,JANASENA PARTY,155807,S01,8,3
2019,ANDHRA PRADESH,RAJAHMUNDRY,NALLURI VIJAYA SRINIVASA RAO,INC,12725,S01,8,4
2019,ANDHRA PRADESH,RAJAHMUNDRY,PARAVASTU SATYA GOPINATH DAS,BJP,12334,S01,8,5
2019,ANDHRA PRADESH,RAJAHMUNDRY,KOLLAPU VENU,IND,2869,S01,8,6
2019,ANDHRA PRADESH,RAJAHMUNDRY,GEDDAM DAVID NELSON BABU,AMBEDKARITE PARTY OF INDIA,1757,S01,8,7
2019,ANDHRA PRADESH,RAJAHMUNDRY,KURUVELLA BHANUCHANDAR,IND,1242,S01,8,8
2019,ANDHRA PRADESH,RAJAHMUNDRY,SANGISETTI SRINIVASA RAO,PPOI,1161,S01,8,9
2019,ANDHRA PRADESH,RAJAHMUNDRY,BANDARU RAJESWARA RAO,JANA JAGRUTI PARTY,1035,S01,8,10
2019,ANDHRA PRADESH,RAJAHMUNDRY,MEDA SRINIVAS,RASHTRIYA PRAJA CONGRESS  (SECULAR),996,S01,8,11
2019,ANDHRA PRADESH,RAJAHMUNDRY,NOTA,NOTA,18087,S01,8,-1
2019,ANDHRA PRADESH,NARSAPURAM,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,447594,S01,9,1
2019,ANDHRA PRADESH,NARSAPURAM,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),TDP,415685,S01,9,2
2019,ANDHRA PRADESH,NARSAPURAM,NAGABABU KONIDELA,JANASENA PARTY,250289,S01,9,3
2019,ANDHRA PRADESH,NARSAPURAM,KANUMURU BAPIRAJU,INC,13810,S01,9,4
2019,ANDHRA PRADESH,NARSAPURAM,PYDIKONDALA MANIKYALA RAO,BJP,12378,S01,9,5
