ABBREVIATION,PARTY
TNPWP,Tamil Nadu Peasants & Workers Party
TPP,Tribal Prople Party
TRC,Tamizhaga Rajiv Congress
TRMRPPI,The Religion of Man Revolving Political Party of India
TTNSIUML,The Tamil Nadu State Indian Union Muslim League
TZMM,Tamizhaga Munnetra Munnani
TZP,Tamizhar Party
UDF,United Democratic Front
UDFP,United Democratic Front Progressive
UDP,United Democratic Party
UFN,United Front of Nagaland
UGDP,United Goans Democratic Party
UKKD,Uttarakhand Kranti Dal
UMK,Ulzaipali Makkal Katchy
UNLP,United National Loktantrik Party
UPRP,Uttar Pradesh Republican Party
UWF,United Women Front
UBNLF,United Bodo Nationalist Liberation Front
UCP,United Citizens Party
UCPI,United Communist Party of India
UIDC,United Indian Democratic Council
UIPP,United India Peoples Party
UKD,Uttarkhand Party
UKKD,Uttarakhand Kranti Dal
UPJMP,Uttar Pradesh Jan Manas Party
UPPA,United Peoples Party of Assam
UPRP,Uttar Pradesh Republican Party
UPVM,Uttar Pradesh Vikas Manch
URMCA,United Reservation Movement Council of Assam
URP,United Republican Party
USP,Uttarakhand Sanskriti Parishad
UTNLF,United Tribal Nationalists Liberation Front
VAJP,Vanchit Jamat Party
VCK,Viduthalai Chiruthaigal Katchi
VHS,Vishva Hindustani Sangathan
VIP,Vanchitsamaj Insaaf Party
VJCP,Vichara Jagruthi Congress Paksha
VP,Vikas Party
VSP,Vishva Shakti Party
VVS,Vishwa Vikas Sangh
VAK,Vivasayi Anbhu Katchi
VBP,Vishal Bharat Party
VCP,Vikaswadi Communism Party
VHP,Vishal Haryana Party
VJP,Vijeta Party
VLP,Vokkaligara Parishat
VPP,Vidarbha Praja Party
VRMM,Vidharabha Rajya Mukti Morcha
WPOI,Welfare Party of India
WBSP(M),West Bengal Socialist Party (S.N.J. Mirza)
WOPF,West Orissa Peoples Front
WPI,Workers Party of India
YDP,Yuva Desham Party
YFE,Youth For Equality
YJM,Yatharthawadi Jan Morcha
YSP,Youth And Students Party
YSRCP,Yuvajana Sramika Rythu Congress Party
YVP,Yuva Vikas Party
NOTA,None of the Above
AAP,Aam Aadmi Party
IND,Independent
LSP,Loktantra Suraksha Party
LIP,Lok Insaaf Party
