Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2024,ANDHRA PRADESH,VISAKHAPATNAM,BANNA. RAMESH,DALITA BAHUJANA PARTY,941,S01,21,13
2024,ANDHRA PRADESH,VISAKHAPATNAM,P. SATYA VANI,PPOI,875,S01,21,14
2024,ANDHRA PRADESH,VISAKHAPATNAM,DURGA PRASAD. GUNTU,BHARTIYA RASHTRIYA DAL,760,S01,21,15
2024,ANDHRA PRADESH,VISAKHAPATNAM,CHAPPIDI RAMU,IND,756,S01,21,16
2024,ANDHRA PRADESH,VISAKHAPATNAM,M.G.M. KHAN,IND,738,S01,21,17
2024,ANDHRA PRADESH,VISAKHAPATNAM,SHANKAR DEVARA YADAV,IND,656,S01,21,18
2024,ANDHRA PRADESH,VISAKHAPATNAM,VENU MADHAV KARRI,IND,646,S01,21,19
2024,ANDHRA PRADESH,VISAKHAPATNAM,DR. ACHUTHA BALAJI YADAV (MURAPALA),BCYP,628,S01,21,20
2024,ANDHRA PRADESH,VISAKHAPATNAM,THOTA VENKATA SAI MUKUND,PRAJA PRASTHANAM PARTY,628,S01,21,21
2024,ANDHRA PRADESH,VISAKHAPATNAM,PIDIDHI APPARAO,IND,576,S01,21,22
2024,ANDHRA PRADESH,VISAKHAPATNAM,G.A.N. ANAND,IND,543,S01,21,23
2024,ANDHRA PRADESH,VISAKHAPATNAM,VADDI. HARI GANESH,IND,518,S01,21,24
2024,ANDHRA PRADESH,VISAKHAPATNAM,JANARDHAN PONNADA.,IND,499,S01,21,25
2024,ANDHRA PRADESH,VISAKHAPATNAM,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),JAI MAHA BHARATH PARTY,494,S01,21,26
2024,ANDHRA PRADESH,VISAKHAPATNAM,JALADI VIJAYA KUMARI,SP,463,S01,21,27
2024,ANDHRA PRADESH,VISAKHAPATNAM,CHINTADA SURYAM,NABA BHARATA NIRMANA SEVA PARTY,443,S01,21,28
2024,ANDHRA PRADESH,VISAKHAPATNAM,GANDIKOTA RAJESH,NAVATARAM PARTY,392,S01,21,29
2024,ANDHRA PRADESH,VISAKHAPATNAM,KOLLI NAGA RAJU,IND,322,S01,21,30
2024,ANDHRA PRADESH,VISAKHAPATNAM,METTA RAMA RAO,IND,320,S01,21,31
2024,ANDHRA PRADESH,VISAKHAPATNAM,LAGUDU. GOVINDA RAO,IND,293,S01,21,32
2024,ANDHRA PRADESH,VISAKHAPATNAM,MALLA SRAVANI,IND,271,S01,21,33
2024,ANDHRA PRADESH,VISAKHAPATNAM,NOTA,NOTA,5171,S01,21,-1
2024,ANDHRA PRADESH,ANAKAPALLI,C.M.RAMESH,BJP,750027,S01,22,1
2024,ANDHRA PRADESH,ANAKAPALLI,BUDI MUTYALA NAIDU,YSRCP,459762,S01,22,2
2024,ANDHRA PRADESH,ANAKAPALLI,VEGI VENKATESH,INC,24833,S01,22,3
2024,ANDHRA PRADESH,ANAKAPALLI,PALAKA SREERAMA MURTHY,BSP,19082,S01,22,4
2024,ANDHRA PRADESH,ANAKAPALLI,VANKAYALA RAMACHANDRA RAO,IND,4001,S01,22,5
2024,ANDHRA PRADESH,ANAKAPALLI,LOVARAJU SIDDHA,IND,3845,S01,22,6
2024,ANDHRA PRADESH,ANAKAPALLI,KRISHNA SWAROOP VADLAMURI,DALITA BAHUJANA PARTY,3549,S01,22,7
2024,ANDHRA PRADESH,ANAKAPALLI,GARA SURYA RAO,IND,3116,S01,22,8
2024,ANDHRA PRADESH,ANAKAPALLI,APPALA RAJU NAMMI,BCYP,2589,S01,22,9
2024,ANDHRA PRADESH,ANAKAPALLI,NAGESWARA RAO PETLA,IND,2179,S01,22,10
2024,ANDHRA PRADESH,ANAKAPALLI,ADARI SARAT CHANDRA,JBNP,1886,S01,22,11
2024,ANDHRA PRADESH,ANAKAPALLI,VIJAYA LAKSHMI KARRI,PPOI,1578,S01,22,12
2024,ANDHRA PRADESH,ANAKAPALLI,DR. THUMMAPALA HARI  SHANKAR,IND,1567,S01,22,13
2024,ANDHRA PRADESH,ANAKAPALLI,JUNNURI J SRINIVAS,IND,1195,S01,22,14
2024,ANDHRA PRADESH,ANAKAPALLI,APPALANAIDU TUMMAGUNTA,IND,1055,S01,22,15
2024,ANDHRA PRADESH,ANAKAPALLI,NOTA,NOTA,26084,S01,22,-1
2024,ANDHRA PRADESH,KAKINADA,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),JANASENA PARTY,718971,S01,23,1
2024,ANDHRA PRADESH,KAKINADA,CHALAMALASETTY SUNIL,YSRCP,495188,S01,23,2
2024,ANDHRA PRADESH,KAKINADA,MALLIPUDI MANGAPATI PALLAM RAJU,INC,20258,S01,23,3
2024,ANDHRA PRADESH,KAKINADA,UDAY,NAVARANG CONGRESS PARTY,15578,S01,23,4
2024,ANDHRA PRADESH,KAKINADA,KANDREGULA NARASIMHAM,BSP,11916,S01,23,5
2024,ANDHRA PRADESH,KAKINADA,DR ANUSHA YADAV,BCYP,9818,S01,23,6
2024,ANDHRA PRADESH,KAKINADA,TANGELLA SRINIVASU,JATIYA JANA SENA PARTY,6516,S01,23,7
2024,ANDHRA PRADESH,KAKINADA,YEDIDA VARA PRASAD KUMAR,RPI(A),3924,S01,23,8
2024,ANDHRA PRADESH,KAKINADA,BUGATHA BANGARRAO,CPI  (MARXIST-LENINIST)  (LIBERATION),2816,S01,23,9
2024,ANDHRA PRADESH,KAKINADA,SUDHA VEERA GANESH,IND,2645,S01,23,10
2024,ANDHRA PRADESH,KAKINADA,BHAVANI SANKAR PRASAD MERLA,IND,1963,S01,23,11
2024,ANDHRA PRADESH,KAKINADA,YENUGUPALLI KRISHNA,JRB,1762,S01,23,12
2024,ANDHRA PRADESH,KAKINADA,BODDETI APPARAO,IND,1687,S01,23,13
2024,ANDHRA PRADESH,KAKINADA,NEELAKANTAM DONAM,IND,1401,S01,23,14
2024,ANDHRA PRADESH,KAKINADA,PASUPULETI S.V.S.BHUSHANAM,IND,1222,S01,23,15
2024,ANDHRA PRADESH,KAKINADA,NOTA,NOTA,17105,S01,23,-1
2024,ANDHRA PRADESH,AMALAPURAM,G M HARISH (BALAYOGI),TDP,786149,S01,24,1
2024,ANDHRA PRADESH,AMALAPURAM,RAPAKA VARAPRASADA RAO,YSRCP,450362,S01,24,2
2024,ANDHRA PRADESH,AMALAPURAM,GOUTHAM JANGA,INC,14523,S01,24,3
2024,ANDHRA PRADESH,AMALAPURAM,DORABABU YALLA,BSP,5202,S01,24,4
2024,ANDHRA PRADESH,AMALAPURAM,KATRU NAGA BABU,TNG,3736,S01,24,5
2024,ANDHRA PRADESH,AMALAPURAM,VADDI LALITH KUMAR,IND,2974,S01,24,6
2024,ANDHRA PRADESH,AMALAPURAM,MAKEY DAVY PRASAD,IND,2104,S01,24,7
2024,ANDHRA PRADESH,AMALAPURAM,GUDE VENKATESWARULU,IND,1741,S01,24,8
2024,ANDHRA PRADESH,AMALAPURAM,RAMESH JILLELLA,JATIYA JANA SENA PARTY,866,S01,24,9
2024,ANDHRA PRADESH,AMALAPURAM,YALANGI RAMESH,JRB,738,S01,24,10
2024,ANDHRA PRADESH,AMALAPURAM,MATHA KRISHNA,PPOI,718,S01,24,11
2024,ANDHRA PRADESH,AMALAPURAM,GIDDI JNANA PRAKASA RAO,RPI,717,S01,24,12
2024,ANDHRA PRADESH,AMALAPURAM,YADLA RAJESH,NCP,628,S01,24,13
2024,ANDHRA PRADESH,AMALAPURAM,KAPA KALYAN,RPI(A),579,S01,24,14
2024,ANDHRA PRADESH,AMALAPURAM,PATHURI RAMESH,PEOPLES PARTY OF INDIA (DEMOCRATIC),502,S01,24,15
2024,ANDHRA PRADESH,AMALAPURAM,NOTA,NOTA,13418,S01,24,-1
