Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code
1999,MAHARASHTRA,MUMBAI SOUTH,AZIZ LALANI,SP,19128,,
1999,MAHARASHTRA,MUMBAI SOUTH,VYAS RAMESH BAJRANGPAL,IND,2441,,
1999,MAHARASHTRA,MUMBAI SOUTH,QURESHI MOHOMED RAIS,IND,1783,,
1999,MAHARASHTRA,MUMBAI SOUTH CENTRAL,MOHAN VISHNU RAWALE,SHS,176323,S13,30
1999,MAHARASHTRA,MUMBAI SOUTH CENTRAL,A MAJEED MEMON ADVOCATE,SP,97287,S13,30
1999,MAHARASHTRA,MUMBAI SOUTH CENTRAL,DADA SAMANT,BBM,77747,S13,30
1999,MAHARASHTRA,MUMBAI SOUTH CENTRAL,GAIKWAD P K,IND,16248,S13,30
1999,MAHARASHTRA,NAGPUR,VILAS MUTTEMWAR,INC,424450,S13,10
1999,MAHARASHTRA,NAGPUR,VINOD YASHWANTRAO GUDADHE (PATIL),BJP,351755,S13,10
1999,MAHARASHTRA,NAGPUR,PROF ASHOK GODGHATE,IND,15817,S13,10
1999,MAHARASHTRA,NAGPUR,PROF P S CHANGOLE,BSP,14465,S13,10
1999,MAHARASHTRA,NAGPUR,VAIDYA MANIKRAO DAYARAMJI,IND,2438,S13,10
1999,MAHARASHTRA,NAGPUR,PROF VIRSEN STEPHEN BARSE,IND,1440,S13,10
1999,MAHARASHTRA,NANDED,KHATGAONKAR BHASKARRAO BAPURAO,INC,327293,S13,16
1999,MAHARASHTRA,NANDED,DR DHANAJIRAO VYANKATRAO DESHMUKH,BJP,294718,S13,16
1999,MAHARASHTRA,NANDED,GUNWANT PATIL HANGARGEKAR,SBP,71279,S13,16
1999,MAHARASHTRA,NANDED,GAIKWAD SOPAN NIVRATI,ABHS,17637,S13,16
1999,MAHARASHTRA,NANDED,AMARJITSINGH MAJOR PANJABSINGH GILL,PWPI,8222,S13,16
1999,MAHARASHTRA,NANDED,BHOSIKAR SURESH GOVINDRAO,IND,7714,S13,16
1999,MAHARASHTRA,NANDED,GHODAJKAR DHANAJI PANDURANG,BSP,5502,S13,16
1999,MAHARASHTRA,NANDURBAR,GAVIT MANIKRAO HODLYA,INC,318338,S13,1
1999,MAHARASHTRA,NANDURBAR,VASAVE GOVIND RAMU,NCP,187567,S13,1
1999,MAHARASHTRA,NANDURBAR,KUWARSING FULJI VALVI,BJP,151509,S13,1
1999,MAHARASHTRA,NANDURBAR,BHURIBAI MANSING SHEMLE,CPM,13625,S13,1
1999,MAHARASHTRA,NASHIK,DHIKALE UTTAMRAO NATHUJI,SHS,303084,S13,21
1999,MAHARASHTRA,NASHIK,PATIL MADHAV BALWANT,NCP,266272,S13,21
1999,MAHARASHTRA,NASHIK,GULAVE GOPALRAO RAVLAJI,INC,148346,S13,21
1999,MAHARASHTRA,NASHIK,BANDAVANE KARBHARI PANDURANG,ABHS,8249,S13,21
1999,MAHARASHTRA,NASHIK,SHIVAJI BABURAO SANGALE,IND,2821,S13,21
1999,MAHARASHTRA,OSMANABAD,KAMBLE SHIVAJI VITHALRAO,SHS,252135,S13,40
1999,MAHARASHTRA,OSMANABAD,DEOKULE KANIFNATH,NCP,193062,S13,40
1999,MAHARASHTRA,OSMANABAD,ARVIND KAMBLE,INC,167005,S13,40
1999,MAHARASHTRA,OSMANABAD,VITHAL KUNDLIK RAUT,IND,15670,S13,40
1999,MAHARASHTRA,OSMANABAD,SANJAYKUMAR BHAGWAT WAGHMARE,BSP,5315,S13,40
1999,MAHARASHTRA,PANDHARPUR,ATHAWALE RAMDAS BANDU,IND,413115,,
1999,MAHARASHTRA,PANDHARPUR,KSHIRSAGAR NAGNATH DATTATRAY,BJP,153610,,
1999,MAHARASHTRA,PANDHARPUR,THORAT SANDIPAN BHAGWAN,INC,111903,,
1999,MAHARASHTRA,PANDHARPUR,GHODAKE DAGADU PANDHARINATH,IND,99242,,
1999,MAHARASHTRA,PANDHARPUR,DR PRITISH SHIVAJIRAO JALGAONKAR,BSP,2940,,
1999,MAHARASHTRA,PARBHANI,JADHAV SURESH RAMRAO,SHS,254019,S13,17
1999,MAHARASHTRA,PARBHANI,JAMKAR RAOSAHEB BAPUSAHEB,INC,210354,S13,17
